person_id,n_works,n_journals,rho
020045890d23,14,11,0.682120867315026
027fb5efdc82,147,53,0.3410327498334492
03aa01c8233c,10,8,0.20122325299530436
05276ee1c91b,56,38,0.4599046359730447
05a5f48672e6,54,38,0.5659207993387949
0626d6cf1a6c,17,12,0.5209633597350602
0688d08defaf,15,14,0.09838998211091234
06d0b79da0cb,38,28,0.3254082879326994
08401dc33c5a,12,7,0.9497386043957614
08ad72f96961,11,9,0.30434862294147574
08cad534d85c,19,13,0.49846119661443034
09e13afe71e3,22,15,0.7362635775307349
0a0c61be81e2,12,11,0.3087719298245614
0a43c7fde1f4,32,30,0.32987632477949846
0bbd644708d6,50,34,0.378104800549026
0ca2f7cee40d,12,11,0.24825387016325987
0d1716fee803,52,35,-0.019762338083964576
0d759c8a6ce6,12,9,0.4000056387753522
0d9d1b7b4418,15,11,0.38406049189871055
0e3b46e128fd,18,16,0.1965856445162367
0e5898e310e0,66,38,0.40555299908324194
1068ba08e04c,16,11,0.8269312200395913
15c7e59c85c4,65,25,0.5027194806578171
16085a462623,10,8,0.5263183118767222
16d70b26bd38,79,39,0.3059173378114158
17477740110d,33,26,0.5218083337005538
17d3e1340e1d,41,24,0.3760300211832994
18ff8233ad7f,36,20,0.593320868675061
1a1f21d2a13b,151,66,0.25833945523446783
1a3074455fd9,13,10,0.6096603918830104
1a8126d37c6b,12,11,0.42273601320057586
1c6b6752b0a2,12,8,0.03880124858654781
1d43d26bba0f,50,31,0.38596127104278405
1ede1eeeb48c,56,37,0.09992646325510178
208923c64cc1,24,18,0.6245670066077667
20aab84e9325,32,25,0.7538321124261723
210877301fe1,14,9,0.7853152464856986
250bd9957069,51,31,0.7189717096752573
254c5caacabd,45,31,0.6470899734517233
263b19c75585,22,20,0.6447235682400917
26c8cd4faa3a,14,12,0.6339584889537833
2892fb4fe101,14,13,0.8079916186305925
28c42f2e7ce6,132,46,0.5216136614884174
28d00ccfdb82,10,9,0.4878048780487806
2b37d89b2d25,85,61,0.3321297727249578
2b5bf7f93343,60,37,0.17252626988242595
2c091a4e4829,17,17,0.4373170736129145
2c72eca2fdea,11,7,0.38570700946908754
2cd9e1bf222b,10,9,-0.21884599572482327
2dc3fc74db40,69,45,0.28641061048635186
2f93af160426,18,12,0.35349802676728553
31cc356d34a5,10,5,0.7508402979690295
31f74f743e6b,69,38,0.0991545002771645
33040f7b1e85,12,7,0.6067876358824074
333cbff201d9,85,61,0.33832952393260957
334e48247a85,28,16,0.2886972202603763
336ce9aa9e76,41,31,0.5401215025355638
34409dee82e3,31,23,0.0928752962036382
345e48df0daa,40,23,0.48694193701934835
34ff7e8a7b3c,39,24,0.3541896334368706
36da21bf8437,16,12,0.30290208418902603
37b5cfac8fb2,26,21,0.37424487165224424
3931af1e4b5e,13,11,0.27486187845303867
3a94e8c8a45c,29,24,0.03875587337730374
3c1efacd84ed,18,14,0.7008315370093755
3cba3ae09958,20,13,0.6157278061396563
3d158592dea8,14,7,0.9446702259508671
3de30473cd4f,11,11,0.13334214206279385
3e3ae30df205,22,16,0.42510831649332737
40bc4ce8758a,19,15,0.6760693436830432
412913a625f5,10,9,0.2584725505444276
425ea1212508,34,26,-0.08196100399772929
427e04e5a78f,83,40,0.48546335911215
45330b955800,17,15,0.2756491599062961
4585492e9dae,10,9,0.6504589317376691
46fa51af519d,36,21,0.22062182063775632
4929d240b9e6,51,21,0.33108195760706693
49fd7663f351,51,37,0.4746370916051155
4a94ecd2c80d,18,15,0.33419559567760243
4b0386303cbd,13,13,0.19230769230769232
4bee7a518079,14,12,0.8863134657836644
4c5e5146a247,21,17,0.43615644434561446
4d36f558eabf,28,22,0.5816411413919496
4d9398662e56,68,45,0.5445871955408343
51182dc82444,155,57,0.19148841495972083
53d9ce49a1c1,32,28,0.5454795617121704
5411f1b8b04a,47,36,0.19465108188889307
5480cef34e47,78,49,0.22612754095844348
578bff15166a,20,16,0.6909992779011231
57f96ac37521,15,11,0.370604298547735
581a16f7eb7a,11,9,0.7169024510142403
5c1147e75a39,38,21,0.26550474120497763
5dd638edd6ed,22,17,0.535734629573661
5f568c95702d,70,36,0.009946460181774693
5f8a9fe88661,12,12,0.12280777351893818
60080d4037e7,22,20,0.6852376661702196
6026830c00e0,22,19,0.12015833106754617
6026b01e366d,18,15,0.6511401119230006
622e660c3be1,40,34,0.4866857658116895
6433a08abff2,11,10,0.5835255552637317
65c9474eeb7a,34,22,0.42764227057961895
65e7ec41d6db,13,11,0.8430232558139533
66ed55ecb777,91,46,0.6434548751301271
670ad8f5645c,20,17,0.32642294064063
67693e3b4e4c,68,40,0.3604098639898927
67e6674d387c,25,16,-0.10387308293527632
68525ad359c4,21,17,0.26742676684671357
69c9b2a9ff9b,27,16,0.46476235403251515
6a4d5a8e2ac3,78,47,0.6008258356920048
6ae3a444ce13,15,13,0.33004603769217766
6b70e8c13407,20,14,0.4224631497827278
70f5d5ab2ea7,45,36,0.5854840384068635
7254243f56c9,29,22,0.18891221282413725
73b6234f125f,16,14,0.6731290244238806
746c3f68b8f1,35,17,0.3803794149561878
7483a9cf996f,94,53,0.38351248026249735
777e2848307e,13,10,0.8787303170847633
77c4f17198a4,13,10,-0.047092135457782215
784ae3ce56a1,24,19,0.41898990470007214
78d5687e7f42,69,56,0.3589059446313676
78fdc0da2e4c,53,35,0.33317860908811103
79e9dd2abdc7,77,47,0.5730646038814791
7b3b72b0108c,34,26,0.5739711719412012
7bc23043e691,17,17,0.46343181345198725
7d5a556dd22e,27,21,0.3205852302660292
7f045e4ff370,18,15,0.7463768115942029
7fbd28213343,23,16,0.4886044855770683
8073e243b657,14,14,0.44884515609416886
