person_id,orcid,first_name,middle_name,surname,n_projects
020045890d23,0000-0001-6030-4207,Jeffrey,,Lees,1
027fb5efdc82,0000-0002-7551-4378,Michael,C,Frank,1
02aa4ea465d9,0000-0002-5585-9539,Julia Fabienne,,Sandkühler,1
02f15d4aa458,0000-0002-7876-0101,Alejandro,,Sandoval-Lentisco,1
03aa01c8233c,0000-0003-4553-0542,Samiul,,Hossain,2
03bf8cdc7c74,0000-0003-3953-1418,Nathan,Dang,Nguyen,1
046ad4dc94a3,0000-0002-4783-792X,Isaac,T,Thornton,1
04a74276696c,0000-0002-8337-5822,Amanda,Mae,Woodward,2
05276ee1c91b,0000-0003-4915-1785,Heather,,Urry,1
05a341f76075,0000-0002-0410-6254,Ze,,Freeman,1
05a5f48672e6,0000-0001-6038-6142,Yuichi,,Shoda,1
05a60723b80d,0000-0002-9114-9323,Pooja,,Kulkarni,1
0626d6cf1a6c,0000-0003-3604-4155,Hirotaka,,Imada,2
0688d08defaf,0000-0002-0978-9496,Justin,,Sulik,2
06b417bbb007,0000-0002-9866-0239,Jeroen,,Sondervan,1
06c36cc495e0,0000-0002-4252-4668,Larrie,Rabelo,Laporte,1
06d0b79da0cb,0000-0001-9000-8513,Flavio,,Azevedo,58
06f528643d90,0009-0000-1007-6517,Madelief,,van der Velden,2
08401dc33c5a,0000-0003-3599-1580,Matt,,Jaquiery,1
08ad72f96961,0000-0003-1194-0113,Sarah,Ann,Sauve,4
08bfc2750e5c,0000-0001-6243-104X,Ruslana,,Margova,1
08cad534d85c,0000-0003-0130-6602,Leal,,Oburoglu,1
09c1f9f2617e,0000-0002-8808-2439,Nadia,,Adelina,2
09e13afe71e3,0000-0002-6875-8083,Tobias,,Dienlin,2
0a0c61be81e2,0000-0003-2697-9635,Ana,,Todorovic,1
0a43c7fde1f4,0000-0002-0540-3998,Mahmoud,M,Elsherif,23
0b155fc5a493,0000-0002-1490-4903,Eduarda,,Centeno,1
0bbd644708d6,0000-0001-6322-4392,Oliver,,Genschow,1
0ca2f7cee40d,0000-0002-9129-0415,Amélie,,Bret,1
0cc1ee9bf7d6,0000-0003-0853-5272,Theofilos,,Gkinopoulos,1
0d1716fee803,0000-0001-9670-8510,Michael,,Franke,2
0d759c8a6ce6,0000-0002-5761-8536,Tsvetomira,,Dumbalska,2
0d9d1b7b4418,0000-0002-6135-1379,Frankie,T. K.,Fong,1
0da1012bc54d,0000-0002-4107-8280,Hussain,Mohammed,Alzubaidi,1
0dd2190ae78c,0009-0004-5454-9514,Eliska,,Blazek,1
0e3b46e128fd,0000-0002-0420-2342,Kelly,E,Lloyd,7
0e5898e310e0,0000-0002-1826-2274,Joeri,K.,Tijdink,1
0f1127453a12,0000-0002-2076-5348,Myrthe,,Vel Tromp,2
1068ba08e04c,0000-0002-6316-5502,Kellen,,Mrkva,2
113df9f767ce,0000-0001-5627-7007,Nikita,,Ghodke,1
1173fb182787,0000-0001-5616-2680,Obrad,,Vučkovac,1
138c7b8e640b,0000-0002-0675-5215,Magdalena,,Grose-Hodge,2
14e308d7e02a,0000-0002-6446-1901,Lukas,,Röseler,19
15c7e59c85c4,0000-0003-3087-1002,Janik,,Goltermann,2
16085a462623,0000-0003-2444-6982,Rafael,Valdece Sousa,Bastos,1
16d70b26bd38,0000-0003-1501-4846,Tina,B,Lonsdorf,2
17477740110d,0000-0002-6456-5735,Rickard,,Carlsson,1
17d3e1340e1d,0000-0002-8088-4007,Amanda,,Moehring,1
18964b3ab0e5,0009-0006-3380-2458,Priti,,Chahal,1
18ff8233ad7f,0000-0001-9818-4642,Nikita,,Otstavnov,1
19105ceb5f96,0000-0003-2209-4311,Shuxian,,Jin,1
1978b03fff97,0000-0002-3024-3535,Katarzyna,,Pypno-Blajda,1
1a1f21d2a13b,0000-0001-5882-3200,Sebastian,,Ocklenburg,1
1a3074455fd9,0000-0002-8599-9241,Subramanya Prasad,,Chandrashekar,1
1a45d33fff14,0000-0003-0507-9590,Awatif,K.,Alruwaili,1
1a8126d37c6b,0000-0002-6079-9323,Graham,,Reid,2
1b090beac4fb,0000-0002-9641-4157,Oliver,,Deane,1
1c5f4bcd7f29,0000-0001-6049-6851,Quinnehtukqut,,McLamore,1
1c6b6752b0a2,0000-0002-6196-4191,Pasquale,,Pellegrini,1
1d43d26bba0f,0000-0002-1144-7970,Christopher,J.,Graham,8
1e3e457449f0,0009-0003-0557-4089,Cathy,,Fang,1
1ede1eeeb48c,0000-0002-4585-2149,Aoife,,O'Mahony,8
1fa7e9b30cf6,0000-0001-8324-2715,Adrien,A,Fillon,3
1fae0e29d5c0,0000-0003-1601-2439,Jamie,,Chan,1
2031ef983dc1,0009-0007-6938-6190,Willem Jacob,,Louter,2
208923c64cc1,0000-0002-2945-3279,Ciara,,Egan,1
20aab84e9325,0000-0002-6670-0718,Thomas,Rhys,Evans,16
210877301fe1,0000-0001-7874-1261,Sarahanne,M.,Field,1
219cc27e0bc0,0009-0008-5585-0324,Radoslaw,P.,Lach,1
24e0922d3648,0000-0002-5873-503X,Kerry,,Fox,1
250bd9957069,0000-0003-0472-915X,Filip,,Děchtěrenko,3
254c5caacabd,0000-0002-7503-5131,Hu,,Chuan-Peng,2
