doi,title,year,type,status,matched_work_id
10.1016/j.socec.2025.102502,No room at the inn? The case for dedicated replication journals,2026,journal,Published,W4417129238
10.1098/rsos.241726,Mapping Open Science Communities in Psychology: A Systematic Narrative Review,2025,journal,Published,W4408555412
10.17879/replicationresearch-2025-9022,A Community Model for Rigorous and Inclusive Scholarship,2025,journal,Published,
10.1111/josi.70035,"Bridging Neurodiversity and Open Scholarship: How Shared Values Can Guide Best Practices for Research Integrity, Social Justice, and Principled Education",2025,journal,Published,W4415397113
10.7554/elife.102467,An annotated introductory reading list for neurodiversity,2024,journal,Published,W4405003268
10.31222/osf.io/me2ub,The Replication Database: Documenting the Replicability of Psychological Science,2024,journal,Published,W4394714357
10.5334/jopd.101,The Replication Database: Documenting the Replicability of Psychological Science,2024,journal,Published,W4402441701
10.1098/rsos.221255,Teaching open and reproducible scholarship: a critical review of the evidence base for current pedagogical methods and their outcomes,2023,journal,Published,W4376875053
10.31222/osf.io/r6cvx,"Improvements since the Replication Crisis: The Structural, Procedural, and Community Changes",2023,journal,Published,W4378676334
10.1038/s44271-023-00003-2,"Improvements since the Replication Crisis: The Structural, Procedural, and Community Changes",2023,journal,Published,W4385240232
10.53841/bpscog.2023.1.8.23,Participatory Research Primer,2023,journal,Published,W4322707845
10.1038/s41562-021-01269-4,FORRT's Glossary,2022,journal,Published,W4213131350
10.1186/s13104-022-05944-1,The Role of Pedagogical Communities,2021,journal,Published,W4225259000
10.1037/stl0000307,FORRT's Lesson Plans,2021,journal,Published,W3207182139
10.31222/osf.io/qjecy_v2,In Pursuit of Citational Justice: A Toolkit for Equitable Scholarship,2025,preprint,Preprint,W4412836090
10.31222/osf.io/ad2w6_v1,"Tracking and mainstreaming replications in the social, cognitive, and behavioral sciences",2025,preprint,Published,W4416959060
10.35542/osf.io/sn693_v1,How to Develop and Use Open Educational Resources,2025,preprint,Preprint,
10.31222/osf.io/k7a9p,Neurodiversity & Open Scholarship in Academia,2022,preprint,Preprint,W4283157114
10.31219/osf.io/bnh7p,FORRT's Manifesto,2019,preprint,preprint,W4231394344
10.31234/osf.io/c4jqr_v1,Making Open Science Multilingual: Lessons from the Turkish Adaptation of FORRT’s Open Science Glossary,2026,preprint,preprint,W7160661638
,Unveiling the Truth in Science,2024,media,Op-Ed,
,Open Scholarship Pedagogical Communities,2023,media,Op-Ed,
,Letter to UNESCO’s Principles of Open Science Monitoring,2023,media,Letter,
,Navigating Academia as Neurodivergent Researchers,2022,media,Op-Ed,
,What is 'Open Science'? And why does it need a glossary?,2022,media,Op-Ed,
,Educating in the Open Scholarship Era,2022,media,Op-Ed,
,Open Scholarship in QAA Briefing,2023,policy,Policy Brief,
,Building Community (UK Parliament),2021,policy,Policy Brief,
,Briefing Note for Degree Accrediting Societies,2020,policy,Policy Brief,
10.1098/rsos.242076,A scoping review on metrics to quantify reproducibility,2025,affiliated,Published,W4412464884
10.1037/met0000687,The Potential of Preregistration in Psychology,2024,affiliated,Published,W4403303889
10.3389/feduc.2024.1390444,Towards FAIRification of learning resources and catalogues—lessons learnt from research communities,2024,affiliated,Published,W4403476005
,Open Social Psychology,In Prep,wip,Work in Progress,
