source_id,display_name,type,mean_citedness_2yr,works_count,h_index
S100014455,BMC Research Notes,journal,1.7958236658932714,,139
S100062655,Psicologia Teoria e Pesquisa,journal,0.23529411764705882,,56
S100062975,Computer Animation and Virtual Worlds,journal,2.601503759398496,,54
S100149336,Negotiation and Conflict Management Research,journal,0.0,,39
S100167944,Review of General Psychology,journal,3.458823529411765,,159
S1002109714,Communication & Society,journal,2.0,,34
S100249163,Journal of the mechanical behavior of biomedical materials/Journal of mechanical behavior of biomedical materials,journal,3.9495884773662553,,152
S100373537,Journal of Quantitative Spectroscopy and Radiative Transfer,journal,2.3920863309352516,,172
S10038439,Language Testing,journal,3.4215686274509802,,136
S10043949,Learning and Motivation,journal,8.138513513513514,,94
S100444555,International Social Science Journal,journal,1.4607329842931938,,73
S100460328,Scientific American,journal,0.18827415359207267,,258
S1005148073,Socialist studies,journal,0.0,,21
S100649693,Computer Assisted Language Learning,journal,8.476190476190476,,127
S100662246,International Journal of Qualitative Studies on Health and Well-Being,journal,2.7058823529411766,,68
S100695177,The Astronomical Journal,journal,5.014672686230249,,354
S100767427,Lung Cancer,journal,1.5096966683242168,,186
S10082577,Journal of Documentation,journal,2.150326797385621,,121
S1008817457,Medicina,journal,3.2596732588134136,,105
S101023550,Comparative Cognition & Behavior Reviews,journal,0.8833333333333333,,35
S101177023,Journal of Adolescent Health,journal,1.9410205434062293,,253
S101245202,Psychology of Violence,journal,1.2218649517684887,,81
S101300182,Journal of Freshwater Ecology,journal,1.5703125,,54
S10134376,Sustainability,journal,5.191067808801413,,298
S101510409,The American Journal of Surgery,journal,1.8735976065818998,,254
S1017267059,National Academy Science Letters,journal,0.740546218487395,,37
S1017704,Neurology International,journal,3.2329896907216495,,44
S101793665,Journal of Library Administration,journal,1.5389221556886228,,48
S101949793,Sensors,journal,5.077401320545569,,335
S101983704,Psychology of Language and Communication,journal,0.8372093023255814,,24
S101999905,Scandinavian Journal of Occupational Therapy,journal,1.588785046728972,,67
S10201666,Health Education & Behavior,journal,2.1534653465346536,,136
S102059668,Children s Geographies,journal,1.7966101694915255,,93
S102129144,First Monday,journal,3.305699481865285,,120
S102140811,Journal of Homosexuality,journal,1.592074592074592,,134
S10223069,International Journal of Digital Curation,journal,0.4625,,41
S102243518,Brain Behavior and Immunity,journal,5.568081991215227,,250
S102399824,Quality & Quantity,journal,2.285597381342062,,118
S102460418,Clinical Journal of Pain,journal,1.936936936936937,,179
S102543962,Wood Science and Technology,journal,3.1355311355311355,,121
S1025762778,"Philosophy, psychiatry & psychology",journal,0.46875,,54
S102688084,Studies in the literary imagination,journal,0.0,,15
S102728161,Optics and Lasers in Engineering,journal,3.9977900552486187,,147
S102860386,Clinical Nutrition,journal,5.8465396188565695,,225
S10288104,European Journal of Social Psychology,journal,2.1908127208480566,,196
S102896891,Psychology and Marketing,journal,7.319587628865979,,206
S103198402,Acta Geologica Sinica - English Edition,journal,1.3035143769968052,,66
S103225281,NeuroImage,journal,4.024103831891224,,533
S103248676,Journal of Chromatography B,journal,2.3333333333333335,,166
S103284624,Fish and Fisheries,journal,4.280172413793103,,171
S103321696,European Journal of Operational Research,journal,5.500986193293886,,406
S103356783,Integrative and Comparative Biology,journal,2.2600896860986546,,151
S103359281,Medical Decision Making,journal,1.8,,165
S1033826045,Revista Española de Lingüística Aplicada/Spanish Journal of Applied Linguistics,journal,0.8461538461538461,,25
S103398315,Spectrochimica Acta Part B Atomic Spectroscopy,journal,2.992982456140351,,153
S103428141,International Journal of Obesity,journal,4.603021978021978,,304
S103482838,Communications of the ACM,journal,4.155172413793103,,434
S1036915552,Revista Colombiana de Estadística,journal,1.68,,23
S103865650,Pharmaceutical Research,journal,3.566218809980806,,265
S1038890340,Physics,journal,0.17155266015200868,,34
S103928886,The Neuroscientist,journal,2.6923076923076925,,176
S1041805121,Colombia medica,journal,0.5901639344262295,,36
S1042097216,Asiatic IIUM Journal of English Language and Literature,journal,0.05217391304347826,,5
S10422866,Bioorganic & Medicinal Chemistry,journal,2.9628865979381445,,201
S104261359,Aquaculture,journal,4.266415967601967,,278
S104292366,Landscape Ecology,journal,5.077639751552795,,199
S104308233,Journal of Steroid Biochemistry,journal,0.0,,115
S104414929,Plant Biology,journal,2.8088235294117645,,131
S104415515,Journal of Investigative Medicine,journal,1.4803921568627452,,86
S104442948,Indian Journal of Otolaryngology and Head & Neck Surgery,journal,0.4643164230438521,,54
S104698359,Anesthesia & Analgesia,journal,2.8187290969899665,,300
S104780363,IEEE Transactions on Affective Computing,journal,5.418181818181818,,135
S104827148,The Counseling Psychologist,journal,1.669172932330827,,142
S104830714,FEBS Letters,journal,2.776299879081016,,392
S104890489,Coal Preparation,journal,0.0,,32
S104917558,Procedia - Social and Behavioral Sciences,journal,0.0,,177
